request_id,lease_id,status,logged_by,ticket_number,log_date,problem,urgency,category,created_at,updated_at,deleted_at,image_path,assigned_to,expected_completion_date
347,300,Completed,King Bruen,TICKET-000347,2022-02-27,Washing machine malfunction,Level 2,Appliance,2022-02-27 00:00:00,2022-02-27 00:00:00,,,,
348,294,Completed,Bernita Crona,TICKET-000348,2022-02-12,Clogged drain,Level 4,Plumbing,2022-02-12 00:00:00,2022-02-12 00:00:00,,,,
349,187,Completed,Clark West,TICKET-000349,2022-02-03,Loose tiles,Level 2,Structural,2022-02-03 00:00:00,2022-02-03 00:00:00,,,,
350,190,Completed,Clark West,TICKET-000350,2022-02-23,Spider infestation,Level 3,Pest Control,2022-02-23 00:00:00,2022-02-23 00:00:00,,,,
351,196,Completed,Marcus Manager,TICKET-000351,2022-02-14,Dishwasher leakage,Level 1,Appliance,2022-02-14 00:00:00,2022-02-14 00:00:00,,,,
352,222,Completed,Mia Martinez,TICKET-000352,2022-02-10,Dryer not working,Level 3,Appliance,2022-02-10 00:00:00,2022-02-10 00:00:00,,,,
353,259,Completed,Mia Martinez,TICKET-000353,2022-02-16,Dryer not working,Level 2,Appliance,2022-02-16 00:00:00,2022-02-16 00:00:00,,,,
354,258,Completed,King Bruen,TICKET-000354,2022-02-13,Water heater broken,Level 1,Plumbing,2022-02-13 00:00:00,2022-02-13 00:00:00,,,,
355,2,Completed,Clark West,TICKET-000355,2022-03-23,Ceiling crack,Level 2,Structural,2022-03-23 00:00:00,2022-03-23 00:00:00,,,,
356,1,Completed,Mia Martinez,TICKET-000356,2022-03-13,Washing machine malfunction,Level 3,Appliance,2022-03-13 00:00:00,2022-03-13 00:00:00,,,,
357,174,Completed,Clark West,TICKET-000357,2022-03-08,General pest treatment,Level 3,Pest Control,2022-03-08 00:00:00,2022-03-08 00:00:00,,,,
358,15,Completed,Mia Martinez,TICKET-000358,2022-03-04,Electrical panel inspection,Level 2,Electrical,2022-03-04 00:00:00,2022-03-04 00:00:00,,,,
359,15,Completed,Clark West,TICKET-000359,2022-03-25,Door frame damage,Level 3,Structural,2022-03-25 00:00:00,2022-03-25 00:00:00,,,,
360,17,Completed,Mia Martinez,TICKET-000360,2022-03-08,Dripping shower head,Level 1,Plumbing,2022-03-08 00:00:00,2022-03-08 00:00:00,,,,
361,34,Completed,Bernita Crona,TICKET-000361,2022-03-26,Dishwasher leakage,Level 1,Appliance,2022-03-26 00:00:00,2022-03-26 00:00:00,,,,
362,32,Completed,Mia Martinez,TICKET-000362,2022-03-28,Cockroach sighting,Level 3,Pest Control,2022-03-28 00:00:00,2022-03-28 00:00:00,,,,
363,40,Completed,Mia Martinez,TICKET-000363,2022-03-08,Electrical panel inspection,Level 2,Electrical,2022-03-08 00:00:00,2022-03-08 00:00:00,,,,
364,42,Completed,Clark West,TICKET-000364,2022-03-21,Ant infestation,Level 2,Pest Control,2022-03-21 00:00:00,2022-03-21 00:00:00,,,,
365,49,Completed,Bernita Crona,TICKET-000365,2022-03-11,Pipe leakage,Level 1,Plumbing,2022-03-11 00:00:00,2022-03-11 00:00:00,,,,
366,110,Completed,Clark West,TICKET-000366,2022-03-25,AC remote issue,Level 1,Appliance,2022-03-25 00:00:00,2022-03-25 00:00:00,,,,
367,75,Completed,Mia Martinez,TICKET-000367,2022-03-09,Termite inspection,Level 2,Pest Control,2022-03-09 00:00:00,2022-03-09 00:00:00,,,,
368,113,Completed,Marcus Manager,TICKET-000368,2022-03-20,Oven issue,Level 2,Appliance,2022-03-20 00:00:00,2022-03-20 00:00:00,,,,
369,207,Completed,King Bruen,TICKET-000369,2022-03-31,Switch not working,Level 2,Electrical,2022-03-31 00:00:00,2022-03-31 00:00:00,,,,
370,86,Completed,King Bruen,TICKET-000370,2022-03-10,Door not closing,Level 2,Structural,2022-03-10 00:00:00,2022-03-10 00:00:00,,,,
371,182,Completed,Mia Martinez,TICKET-000371,2022-03-26,Low water pressure,Level 1,Plumbing,2022-03-26 00:00:00,2022-03-26 00:00:00,,,,
372,93,Completed,Mia Martinez,TICKET-000372,2022-03-29,Loose tiles,Level 1,Structural,2022-03-29 00:00:00,2022-03-29 00:00:00,,,,
373,96,Completed,Bernita Crona,TICKET-000373,2022-03-28,Door frame damage,Level 1,Structural,2022-03-28 00:00:00,2022-03-28 00:00:00,,,,
374,102,Completed,Marcus Manager,TICKET-000374,2022-03-07,Washing machine malfunction,Level 2,Appliance,2022-03-07 00:00:00,2022-03-07 00:00:00,,,,
375,101,Completed,Clark West,TICKET-000375,2022-03-08,Wiring problem,Level 2,Electrical,2022-03-08 00:00:00,2022-03-08 00:00:00,,,,
376,124,Completed,Mia Martinez,TICKET-000376,2022-03-23,Sink drainage issue,Level 2,Plumbing,2022-03-23 00:00:00,2022-03-23 00:00:00,,,,
377,166,Completed,Marcus Manager,TICKET-000377,2022-03-27,Dishwasher leakage,Level 2,Appliance,2022-03-27 00:00:00,2022-03-27 00:00:00,,,,
378,150,Completed,Bernita Crona,TICKET-000378,2022-03-25,Dripping shower head,Level 1,Plumbing,2022-03-25 00:00:00,2022-03-25 00:00:00,,,,
379,151,Completed,Marcus Manager,TICKET-000379,2022-03-11,Running toilet,Level 1,Plumbing,2022-03-11 00:00:00,2022-03-11 00:00:00,,,,
380,183,Completed,Bernita Crona,TICKET-000380,2022-03-15,Switch not working,Level 1,Electrical,2022-03-15 00:00:00,2022-03-15 00:00:00,,,,
381,189,Completed,Bernita Crona,TICKET-000381,2022-03-05,Light fixture malfunction,Level 4,Electrical,2022-03-05 00:00:00,2022-03-05 00:00:00,,,,
382,199,Completed,Clark West,TICKET-000382,2022-03-31,Door not closing,Level 4,Structural,2022-03-31 00:00:00,2022-03-31 00:00:00,,,,
383,238,Completed,Bernita Crona,TICKET-000383,2022-03-11,Ceiling crack,Level 1,Structural,2022-03-11 00:00:00,2022-03-11 00:00:00,,,,
384,252,Completed,Bernita Crona,TICKET-000384,2022-03-01,Spider infestation,Level 2,Pest Control,2022-03-01 00:00:00,2022-03-01 00:00:00,,,,
385,259,Completed,Clark West,TICKET-000385,2022-03-28,Refrigerator not cooling,Level 3,Appliance,2022-03-28 00:00:00,2022-03-28 00:00:00,,,,
386,260,Completed,Mia Martinez,TICKET-000386,2022-03-26,Ceiling crack,Level 1,Structural,2022-03-26 00:00:00,2022-03-26 00:00:00,,,,
387,2,Completed,Bernita Crona,TICKET-000387,2022-04-07,Power outlet not working,Level 3,Electrical,2022-04-07 00:00:00,2022-04-07 00:00:00,,,,
388,2,Completed,King Bruen,TICKET-000388,2022-04-28,Water heater broken,Level 3,Plumbing,2022-04-28 00:00:00,2022-04-28 00:00:00,,,,
389,27,Completed,King Bruen,TICKET-000389,2022-04-29,Door frame damage,Level 3,Structural,2022-04-29 00:00:00,2022-04-29 00:00:00,,,,
390,39,Completed,Bernita Crona,TICKET-000390,2022-04-12,Wiring problem,Level 2,Electrical,2022-04-12 00:00:00,2022-04-12 00:00:00,,,,
391,41,Completed,King Bruen,TICKET-000391,2022-04-24,Exhaust fan noise,Level 1,Appliance,2022-04-24 00:00:00,2022-04-24 00:00:00,,,,
392,46,Completed,Marcus Manager,TICKET-000392,2022-04-16,Low water pressure,Level 1,Plumbing,2022-04-16 00:00:00,2022-04-16 00:00:00,,,,
393,47,Completed,Clark West,TICKET-000393,2022-04-30,Leaking faucet,Level 1,Plumbing,2022-04-30 00:00:00,2022-04-30 00:00:00,,,,
394,83,Completed,King Bruen,TICKET-000394,2022-04-27,Light fixture malfunction,Level 2,Electrical,2022-04-27 00:00:00,2022-04-27 00:00:00,,,,
395,82,Completed,Bernita Crona,TICKET-000395,2022-04-16,Dripping shower head,Level 4,Plumbing,2022-04-16 00:00:00,2022-04-16 00:00:00,,,,
396,87,Completed,Clark West,TICKET-000396,2022-04-07,Door not closing,Level 4,Structural,2022-04-07 00:00:00,2022-04-07 00:00:00,,,,
397,102,Completed,Marcus Manager,TICKET-000397,2022-04-11,Oven issue,Level 2,Appliance,2022-04-11 00:00:00,2022-04-11 00:00:00,,,,
398,126,Completed,Bernita Crona,TICKET-000398,2022-04-25,Leaking faucet,Level 1,Plumbing,2022-04-25 00:00:00,2022-04-25 00:00:00,,,,
399,128,Completed,King Bruen,TICKET-000399,2022-04-15,AC unit electrical issues,Level 2,Electrical,2022-04-15 00:00:00,2022-04-15 00:00:00,,,,
400,133,Completed,King Bruen,TICKET-000400,2022-04-27,Mosquito problem,Level 3,Pest Control,2022-04-27 00:00:00,2022-04-27 00:00:00,,,,
401,168,Completed,Mia Martinez,TICKET-000401,2022-04-19,Leaking faucet,Level 2,Plumbing,2022-04-19 00:00:00,2022-04-19 00:00:00,,,,
402,152,Completed,King Bruen,TICKET-000402,2022-04-28,Bed bug inspection,Level 3,Pest Control,2022-04-28 00:00:00,2022-04-28 00:00:00,,,,
403,157,Completed,Mia Martinez,TICKET-000403,2022-04-30,Running toilet,Level 1,Plumbing,2022-04-30 00:00:00,2022-04-30 00:00:00,,,,
404,302,Completed,Bernita Crona,TICKET-000404,2022-04-18,Circuit breaker tripping,Level 2,Electrical,2022-04-18 00:00:00,2022-04-18 00:00:00,,,,
405,183,Completed,Mia Martinez,TICKET-000405,2022-04-19,Wall damage,Level 2,Structural,2022-04-19 00:00:00,2022-04-19 00:00:00,,,,
406,188,Completed,King Bruen,TICKET-000406,2022-04-29,Wall crack,Level 4,Structural,2022-04-29 00:00:00,2022-04-29 00:00:00,,,,
407,200,Completed,King Bruen,TICKET-000407,2022-04-01,Dishwasher leakage,Level 4,Appliance,2022-04-01 00:00:00,2022-04-01 00:00:00,,,,
408,221,Completed,Clark West,TICKET-000408,2022-04-29,Bed bug inspection,Level 4,Pest Control,2022-04-29 00:00:00,2022-04-29 00:00:00,,,,
409,232,Completed,Mia Martinez,TICKET-000409,2022-04-16,Dishwasher leakage,Level 2,Appliance,2022-04-16 00:00:00,2022-04-16 00:00:00,,,,
410,227,Completed,Marcus Manager,TICKET-000410,2022-04-22,Termite inspection,Level 3,Pest Control,2022-04-22 00:00:00,2022-04-22 00:00:00,,,,
411,278,Completed,Bernita Crona,TICKET-000411,2022-04-12,Running toilet,Level 1,Plumbing,2022-04-12 00:00:00,2022-04-12 00:00:00,,,,
412,274,Completed,King Bruen,TICKET-000412,2022-04-01,Washing machine malfunction,Level 2,Appliance,2022-04-01 00:00:00,2022-04-01 00:00:00,,,,
413,258,Completed,Mia Martinez,TICKET-000413,2022-04-05,Power outlet not working,Level 1,Electrical,2022-04-05 00:00:00,2022-04-05 00:00:00,,,,
414,5,Completed,Marcus Manager,TICKET-000414,2022-05-25,General pest treatment,Level 2,Pest Control,2022-05-25 00:00:00,2022-05-25 00:00:00,,,,
415,7,Completed,King Bruen,TICKET-000415,2022-05-09,AC remote issue,Level 1,Appliance,2022-05-09 00:00:00,2022-05-09 00:00:00,,,,
416,11,Completed,Mia Martinez,TICKET-000416,2022-05-25,AC unit electrical issues,Level 1,Electrical,2022-05-25 00:00:00,2022-05-25 00:00:00,,,,
417,18,Completed,Clark West,TICKET-000417,2022-05-26,Bed bug inspection,Level 3,Pest Control,2022-05-26 00:00:00,2022-05-26 00:00:00,,,,
418,22,Completed,Clark West,TICKET-000418,2022-05-08,Dryer not working,Level 2,Appliance,2022-05-08 00:00:00,2022-05-08 00:00:00,,,,
419,33,Completed,Marcus Manager,TICKET-000419,2022-05-08,Door not closing,Level 3,Structural,2022-05-08 00:00:00,2022-05-08 00:00:00,,,,
420,39,Completed,Clark West,TICKET-000420,2022-05-08,Ant infestation,Level 4,Pest Control,2022-05-08 00:00:00,2022-05-08 00:00:00,,,,
421,41,Completed,Bernita Crona,TICKET-000421,2022-05-13,Refrigerator not cooling,Level 1,Appliance,2022-05-13 00:00:00,2022-05-13 00:00:00,,,,
422,48,Completed,King Bruen,TICKET-000422,2022-05-11,Microwave not heating,Level 2,Appliance,2022-05-11 00:00:00,2022-05-11 00:00:00,,,,
423,47,Completed,Mia Martinez,TICKET-000423,2022-05-16,Dishwasher leakage,Level 2,Appliance,2022-05-16 00:00:00,2022-05-16 00:00:00,,,,
424,77,Completed,Marcus Manager,TICKET-000424,2022-05-05,Flooring issue,Level 1,Structural,2022-05-05 00:00:00,2022-05-05 00:00:00,,,,
425,144,Completed,Marcus Manager,TICKET-000425,2022-05-11,Door not closing,Level 2,Structural,2022-05-11 00:00:00,2022-05-11 00:00:00,,,,
426,146,Completed,King Bruen,TICKET-000426,2022-05-15,Ceiling crack,Level 2,Structural,2022-05-15 00:00:00,2022-05-15 00:00:00,,,,
427,182,Completed,Mia Martinez,TICKET-000427,2022-05-09,Ant infestation,Level 3,Pest Control,2022-05-09 00:00:00,2022-05-09 00:00:00,,,,
428,94,Completed,Marcus Manager,TICKET-000428,2022-05-18,Electrical panel inspection,Level 1,Electrical,2022-05-18 00:00:00,2022-05-18 00:00:00,,,,
429,102,Completed,Clark West,TICKET-000429,2022-05-03,Running toilet,Level 1,Plumbing,2022-05-03 00:00:00,2022-05-03 00:00:00,,,,
430,102,Ongoing,Marcus Manager,TICKET-000430,2022-05-29,Wall damage,Level 2,Structural,2022-05-29 00:00:00,2022-05-29 00:00:00,,,,
431,129,Completed,Mia Martinez,TICKET-000431,2022-05-10,AC remote issue,Level 4,Appliance,2022-05-10 00:00:00,2022-05-10 00:00:00,,,,
432,132,Completed,Clark West,TICKET-000432,2022-05-14,Dishwasher leakage,Level 3,Appliance,2022-05-14 00:00:00,2022-05-14 00:00:00,,,,
433,168,Completed,Clark West,TICKET-000433,2022-05-21,Clogged drain,Level 1,Plumbing,2022-05-21 00:00:00,2022-05-21 00:00:00,,,,
434,157,Completed,Marcus Manager,TICKET-000434,2022-05-13,Dripping shower head,Level 3,Plumbing,2022-05-13 00:00:00,2022-05-13 00:00:00,,,,
435,171,Completed,Marcus Manager,TICKET-000435,2022-05-10,Termite inspection,Level 2,Pest Control,2022-05-10 00:00:00,2022-05-10 00:00:00,,,,
436,169,Completed,Marcus Manager,TICKET-000436,2022-05-26,Switch not working,Level 3,Electrical,2022-05-26 00:00:00,2022-05-26 00:00:00,,,,
437,200,Completed,Marcus Manager,TICKET-000437,2022-05-11,Door not closing,Level 3,Structural,2022-05-11 00:00:00,2022-05-11 00:00:00,,,,
438,201,Completed,Mia Martinez,TICKET-000438,2022-05-22,Sink drainage issue,Level 1,Plumbing,2022-05-22 00:00:00,2022-05-22 00:00:00,,,,
439,222,Completed,Clark West,TICKET-000439,2022-05-25,Electrical panel inspection,Level 1,Electrical,2022-05-25 00:00:00,2022-05-25 00:00:00,,,,
440,226,Completed,Marcus Manager,TICKET-000440,2022-05-14,Power outlet not working,Level 4,Electrical,2022-05-14 00:00:00,2022-05-14 00:00:00,,,,
441,234,Completed,Clark West,TICKET-000441,2022-05-25,Electrical panel inspection,Level 1,Electrical,2022-05-25 00:00:00,2022-05-25 00:00:00,,,,
442,238,Completed,Marcus Manager,TICKET-000442,2022-05-24,Washing machine malfunction,Level 4,Appliance,2022-05-24 00:00:00,2022-05-24 00:00:00,,,,
443,240,Completed,Marcus Manager,TICKET-000443,2022-05-30,Switch not working,Level 4,Electrical,2022-05-30 00:00:00,2022-05-30 00:00:00,,,,
444,248,Completed,Mia Martinez,TICKET-000444,2022-05-03,Wiring problem,Level 2,Electrical,2022-05-03 00:00:00,2022-05-03 00:00:00,,,,
445,2,Completed,Clark West,TICKET-000445,2022-06-17,Window frame repair,Level 2,Structural,2022-06-17 00:00:00,2022-06-17 00:00:00,,,,
446,16,Completed,Bernita Crona,TICKET-000446,2022-06-27,Flickering lights,Level 2,Electrical,2022-06-27 00:00:00,2022-06-27 00:00:00,,,,
447,21,Completed,King Bruen,TICKET-000447,2022-06-25,Low water pressure,Level 2,Plumbing,2022-06-25 00:00:00,2022-06-25 00:00:00,,,,
448,20,Completed,Clark West,TICKET-000448,2022-06-11,Switch not working,Level 2,Electrical,2022-06-11 00:00:00,2022-06-11 00:00:00,,,,
449,37,Completed,Mia Martinez,TICKET-000449,2022-06-13,Clogged drain,Level 1,Plumbing,2022-06-13 00:00:00,2022-06-13 00:00:00,,,,
450,41,Completed,Clark West,TICKET-000450,2022-06-09,Wiring problem,Level 2,Electrical,2022-06-09 00:00:00,2022-06-09 00:00:00,,,,
451,42,Completed,Mia Martinez,TICKET-000451,2022-06-01,Loose tiles,Level 1,Structural,2022-06-01 00:00:00,2022-06-01 00:00:00,,,,
452,80,Completed,Mia Martinez,TICKET-000452,2022-06-14,Water heater broken,Level 3,Plumbing,2022-06-14 00:00:00,2022-06-14 00:00:00,,,,
453,145,Completed,Marcus Manager,TICKET-000453,2022-06-18,Rodent activity,Level 3,Pest Control,2022-06-18 00:00:00,2022-06-18 00:00:00,,,,
454,143,Completed,Bernita Crona,TICKET-000454,2022-06-27,Ant infestation,Level 3,Pest Control,2022-06-27 00:00:00,2022-06-27 00:00:00,,,,
455,84,Completed,Mia Martinez,TICKET-000455,2022-06-03,Ceiling crack,Level 4,Structural,2022-06-03 00:00:00,2022-06-03 00:00:00,,,,
456,90,Completed,Marcus Manager,TICKET-000456,2022-06-24,Termite inspection,Level 3,Pest Control,2022-06-24 00:00:00,2022-06-24 00:00:00,,,,
457,182,Completed,Mia Martinez,TICKET-000457,2022-06-24,Wiring problem,Level 3,Electrical,2022-06-24 00:00:00,2022-06-24 00:00:00,,,,
458,95,Completed,King Bruen,TICKET-000458,2022-06-18,Low water pressure,Level 1,Plumbing,2022-06-18 00:00:00,2022-06-18 00:00:00,,,,
459,97,Completed,Marcus Manager,TICKET-000459,2022-06-23,Door not closing,Level 1,Structural,2022-06-23 00:00:00,2022-06-23 00:00:00,,,,
460,98,Completed,Mia Martinez,TICKET-000460,2022-06-21,Dripping shower head,Level 2,Plumbing,2022-06-21 00:00:00,2022-06-21 00:00:00,,,,
461,114,Completed,King Bruen,TICKET-000461,2022-06-19,Electrical panel inspection,Level 2,Electrical,2022-06-19 00:00:00,2022-06-19 00:00:00,,,,
462,128,Completed,Mia Martinez,TICKET-000462,2022-06-02,Refrigerator not cooling,Level 2,Appliance,2022-06-02 00:00:00,2022-06-02 00:00:00,,,,
463,130,Completed,Mia Martinez,TICKET-000463,2022-06-13,Door frame damage,Level 1,Structural,2022-06-13 00:00:00,2022-06-13 00:00:00,,,,
464,286,Completed,Bernita Crona,TICKET-000464,2022-06-15,Loose tiles,Level 1,Structural,2022-06-15 00:00:00,2022-06-15 00:00:00,,,,
465,156,Completed,King Bruen,TICKET-000465,2022-06-08,Switch not working,Level 2,Electrical,2022-06-08 00:00:00,2022-06-08 00:00:00,,,,
466,198,Completed,Clark West,TICKET-000466,2022-06-12,AC unit electrical issues,Level 1,Electrical,2022-06-12 00:00:00,2022-06-12 00:00:00,,,,
467,224,Completed,King Bruen,TICKET-000467,2022-06-13,Low water pressure,Level 1,Plumbing,2022-06-13 00:00:00,2022-06-13 00:00:00,,,,
468,270,Completed,Bernita Crona,TICKET-000468,2022-06-17,Door frame damage,Level 1,Structural,2022-06-17 00:00:00,2022-06-17 00:00:00,,,,
469,9,Completed,Marcus Manager,TICKET-000469,2022-07-21,Wiring problem,Level 1,Electrical,2022-07-21 00:00:00,2022-07-21 00:00:00,,,,
470,18,Completed,Mia Martinez,TICKET-000470,2022-07-01,Dryer not working,Level 3,Appliance,2022-07-01 00:00:00,2022-07-01 00:00:00,,,,
471,18,Completed,King Bruen,TICKET-000471,2022-07-24,Dripping shower head,Level 1,Plumbing,2022-07-24 00:00:00,2022-07-24 00:00:00,,,,
472,40,Completed,Bernita Crona,TICKET-000472,2022-07-30,Door frame damage,Level 1,Structural,2022-07-30 00:00:00,2022-07-30 00:00:00,,,,
473,41,Completed,Marcus Manager,TICKET-000473,2022-07-25,Light fixture malfunction,Level 1,Electrical,2022-07-25 00:00:00,2022-07-25 00:00:00,,,,
474,43,Completed,Bernita Crona,TICKET-000474,2022-07-31,Oven issue,Level 2,Appliance,2022-07-31 00:00:00,2022-07-31 00:00:00,,,,
475,48,Completed,Mia Martinez,TICKET-000475,2022-07-20,Pipe leakage,Level 3,Plumbing,2022-07-20 00:00:00,2022-07-20 00:00:00,,,,
476,57,Completed,King Bruen,TICKET-000476,2022-07-24,Flickering lights,Level 1,Electrical,2022-07-24 00:00:00,2022-07-24 00:00:00,,,,
477,206,Completed,King Bruen,TICKET-000477,2022-07-20,Pipe leakage,Level 4,Plumbing,2022-07-20 00:00:00,2022-07-20 00:00:00,,,,
478,88,Completed,Marcus Manager,TICKET-000478,2022-07-10,Flooring issue,Level 2,Structural,2022-07-10 00:00:00,2022-07-10 00:00:00,,,,
479,91,Completed,King Bruen,TICKET-000479,2022-07-14,Sink drainage issue,Level 2,Plumbing,2022-07-14 00:00:00,2022-07-14 00:00:00,,,,
480,92,Completed,Mia Martinez,TICKET-000480,2022-07-26,Exhaust fan noise,Level 2,Appliance,2022-07-26 00:00:00,2022-07-26 00:00:00,,,,
481,98,Completed,Mia Martinez,TICKET-000481,2022-07-28,Low water pressure,Level 2,Plumbing,2022-07-28 00:00:00,2022-07-28 00:00:00,,,,
482,97,Completed,Mia Martinez,TICKET-000482,2022-07-04,Door frame damage,Level 3,Structural,2022-07-04 00:00:00,2022-07-04 00:00:00,,,,
483,150,Completed,Clark West,TICKET-000483,2022-07-19,Sink drainage issue,Level 1,Plumbing,2022-07-19 00:00:00,2022-07-19 00:00:00,,,,
484,190,Completed,Mia Martinez,TICKET-000484,2022-07-02,Dripping shower head,Level 4,Plumbing,2022-07-02 00:00:00,2022-07-02 00:00:00,,,,
485,192,Completed,King Bruen,TICKET-000485,2022-07-20,Window frame repair,Level 3,Structural,2022-07-20 00:00:00,2022-07-20 00:00:00,,,,
486,193,Completed,Bernita Crona,TICKET-000486,2022-07-05,Cockroach sighting,Level 3,Pest Control,2022-07-05 00:00:00,2022-07-05 00:00:00,,,,
487,222,Completed,Mia Martinez,TICKET-000487,2022-07-14,Pipe leakage,Level 4,Plumbing,2022-07-14 00:00:00,2022-07-14 00:00:00,,,,
488,225,Completed,Marcus Manager,TICKET-000488,2022-07-09,Window frame repair,Level 2,Structural,2022-07-09 00:00:00,2022-07-09 00:00:00,,,,
489,225,Completed,Marcus Manager,TICKET-000489,2022-07-03,Termite inspection,Level 1,Pest Control,2022-07-03 00:00:00,2022-07-03 00:00:00,,,,
490,274,Completed,Bernita Crona,TICKET-000490,2022-07-16,Window frame repair,Level 3,Structural,2022-07-16 00:00:00,2022-07-16 00:00:00,,,,
491,268,Completed,Bernita Crona,TICKET-000491,2022-07-09,Flickering lights,Level 1,Electrical,2022-07-09 00:00:00,2022-07-09 00:00:00,,,,
492,256,Completed,Clark West,TICKET-000492,2022-07-26,Water heater broken,Level 3,Plumbing,2022-07-26 00:00:00,2022-07-26 00:00:00,,,,
493,259,Completed,Clark West,TICKET-000493,2022-07-21,Dryer not working,Level 3,Appliance,2022-07-21 00:00:00,2022-07-21 00:00:00,,,,
494,259,Completed,King Bruen,TICKET-000494,2022-07-18,Water heater broken,Level 1,Plumbing,2022-07-18 00:00:00,2022-07-18 00:00:00,,,,
495,2,Completed,Bernita Crona,TICKET-000495,2022-08-05,Clogged drain,Level 1,Plumbing,2022-08-05 00:00:00,2022-08-05 00:00:00,,,,
496,2,Completed,King Bruen,TICKET-000496,2022-08-23,Oven issue,Level 1,Appliance,2022-08-23 00:00:00,2022-08-23 00:00:00,,,,
497,8,Completed,Mia Martinez,TICKET-000497,2022-08-18,Circuit breaker tripping,Level 1,Electrical,2022-08-18 00:00:00,2022-08-18 00:00:00,,,,
498,13,Completed,Marcus Manager,TICKET-000498,2022-08-05,Circuit breaker tripping,Level 1,Electrical,2022-08-05 00:00:00,2022-08-05 00:00:00,,,,
499,22,Completed,Mia Martinez,TICKET-000499,2022-08-23,Dripping shower head,Level 1,Plumbing,2022-08-23 00:00:00,2022-08-23 00:00:00,,,,
500,25,Completed,Bernita Crona,TICKET-000500,2022-08-22,Pipe leakage,Level 1,Plumbing,2022-08-22 00:00:00,2022-08-22 00:00:00,,,,
501,41,Completed,Marcus Manager,TICKET-000501,2022-08-24,Leaking faucet,Level 1,Plumbing,2022-08-24 00:00:00,2022-08-24 00:00:00,,,,
502,105,Completed,Bernita Crona,TICKET-000502,2022-08-24,Mosquito problem,Level 2,Pest Control,2022-08-24 00:00:00,2022-08-24 00:00:00,,,,
503,143,Completed,Bernita Crona,TICKET-000503,2022-08-04,Pipe leakage,Level 1,Plumbing,2022-08-04 00:00:00,2022-08-04 00:00:00,,,,
504,146,Completed,King Bruen,TICKET-000504,2022-08-21,Leaking faucet,Level 1,Plumbing,2022-08-21 00:00:00,2022-08-21 00:00:00,,,,
505,85,Completed,Clark West,TICKET-000505,2022-08-01,Ceiling crack,Level 2,Structural,2022-08-01 00:00:00,2022-08-01 00:00:00,,,,
506,91,Completed,Bernita Crona,TICKET-000506,2022-08-05,Running toilet,Level 1,Plumbing,2022-08-05 00:00:00,2022-08-05 00:00:00,,,,
507,89,Completed,Clark West,TICKET-000507,2022-08-03,General pest treatment,Level 3,Pest Control,2022-08-03 00:00:00,2022-08-03 00:00:00,,,,
508,94,Completed,Marcus Manager,TICKET-000508,2022-08-07,Microwave not heating,Level 3,Appliance,2022-08-07 00:00:00,2022-08-07 00:00:00,,,,
509,97,Completed,Marcus Manager,TICKET-000509,2022-08-07,Refrigerator not cooling,Level 2,Appliance,2022-08-07 00:00:00,2022-08-07 00:00:00,,,,
510,138,Completed,Bernita Crona,TICKET-000510,2022-08-15,Cockroach sighting,Level 2,Pest Control,2022-08-15 00:00:00,2022-08-15 00:00:00,,,,
511,154,Completed,Marcus Manager,TICKET-000511,2022-08-05,Window frame repair,Level 3,Structural,2022-08-05 00:00:00,2022-08-05 00:00:00,,,,
512,152,Completed,Marcus Manager,TICKET-000512,2022-08-30,AC remote issue,Level 2,Appliance,2022-08-30 00:00:00,2022-08-30 00:00:00,,,,
513,170,Completed,Bernita Crona,TICKET-000513,2022-08-16,Bed bug inspection,Level 3,Pest Control,2022-08-16 00:00:00,2022-08-16 00:00:00,,,,
514,298,Completed,Mia Martinez,TICKET-000514,2022-08-17,Dishwasher leakage,Level 2,Appliance,2022-08-17 00:00:00,2022-08-17 00:00:00,,,,
515,191,Completed,Clark West,TICKET-000515,2022-08-25,Clogged drain,Level 1,Plumbing,2022-08-25 00:00:00,2022-08-25 00:00:00,,,,
516,188,Completed,Bernita Crona,TICKET-000516,2022-08-02,Flickering lights,Level 1,Electrical,2022-08-02 00:00:00,2022-08-02 00:00:00,,,,
517,194,Completed,Bernita Crona,TICKET-000517,2022-08-22,Clogged drain,Level 1,Plumbing,2022-08-22 00:00:00,2022-08-22 00:00:00,,,,
518,193,Completed,Bernita Crona,TICKET-000518,2022-08-08,Dripping shower head,Level 1,Plumbing,2022-08-08 00:00:00,2022-08-08 00:00:00,,,,
519,222,Completed,Mia Martinez,TICKET-000519,2022-08-20,Flickering lights,Level 1,Electrical,2022-08-20 00:00:00,2022-08-20 00:00:00,,,,
520,227,Completed,Clark West,TICKET-000520,2022-08-15,Window frame repair,Level 1,Structural,2022-08-15 00:00:00,2022-08-15 00:00:00,,,,
521,249,Completed,Mia Martinez,TICKET-000521,2022-08-02,Water heater broken,Level 1,Plumbing,2022-08-02 00:00:00,2022-08-02 00:00:00,,,,
522,261,Completed,Clark West,TICKET-000522,2022-08-08,Water heater broken,Level 1,Plumbing,2022-08-08 00:00:00,2022-08-08 00:00:00,,,,
523,172,Completed,Clark West,TICKET-000523,2022-09-07,Wall damage,Level 1,Structural,2022-09-07 00:00:00,2022-09-07 00:00:00,,,,
524,5,Completed,Mia Martinez,TICKET-000524,2022-09-18,Bed bug inspection,Level 1,Pest Control,2022-09-18 00:00:00,2022-09-18 00:00:00,,,,
